,,10-Nov,10-Dec,10-Dec,11-Jan,11-Feb,11-Mar,11-Apr,11-May
,County.Code,T.44,T.48,T.52,T.4,T.8,T.12,T.16,T.20
ALBANY,36001,0,3,14,39,25,36,26,1
ALLEGANY,36003,0,0,0,2,65,32,10,8
BRONX,36005,32,94,537,634,315,150,53,15
BROOME,36007,0,1,7,59,174,117,26,7
CATTARAUGUS,36009,0,0,0,8,63,34,10,0
CAYUGA,36011,0,1,0,3,4,12,14,0
CHAUTAUQUA,36013,1,1,2,23,137,136,36,1
CHEMUNG,36015,0,1,1,5,18,24,5,1
CHENANGO,36017,0,0,0,2,21,39,11,1
CLINTON,36019,0,0,0,2,4,10,4,6
COLUMBIA,36021,0,0,6,16,26,12,17,7
CORTLAND,36023,0,0,2,6,14,9,1,0
DELAWARE,36025,0,0,4,1,18,18,1,0
DUTCHESS,36027,0,3,30,63,84,75,20,3
ERIE,36029,0,2,6,80,297,253,82,11
ESSEX,36031,0,0,1,1,9,4,1,0
FRANKLIN,36033,0,0,0,10,52,10,3,0
FULTON,36035,0,0,0,7,13,8,6,0
GENESEE,36037,0,0,0,1,26,57,4,1
GREENE,36039,0,0,5,10,3,2,2,2
HAMILTON,36041,0,0,0,0,1,0,1,0
HERKIMER,36043,0,0,0,8,22,23,5,2
JEFFERSON,36045,0,1,0,2,46,38,10,2
KINGS,36047,13,57,259,376,289,136,34,3
LEWIS,36049,0,0,0,12,36,25,12,13
LIVINGSTON,36051,0,2,1,11,34,30,11,0
MADISON,36053,1,1,0,2,29,29,16,5
MONROE,36055,1,0,8,163,610,539,194,33
MONTGOMERY,36057,0,1,1,2,5,9,6,1
NASSAU,36059,15,70,371,841,706,423,159,18
NEW YORK,36061,13,62,242,385,245,105,41,8
NIAGARA,36063,0,0,1,11,25,18,7,2
ONEIDA,36065,1,0,7,38,129,118,40,5
ONONDAGA,36067,2,3,17,72,327,327,93,5
ONTARIO,36069,2,0,1,15,71,54,11,2
ORANGE,36071,0,0,19,66,65,55,18,13
ORLEANS,36073,0,0,0,2,35,10,5,0
OSWEGO,36075,0,1,2,5,44,52,23,2
OTSEGO,36077,1,0,0,7,16,10,1,1
PUTNAM,36079,0,3,21,26,29,39,6,0
QUEENS,36081,22,88,334,558,377,210,72,5
RENSSELAER,36083,0,1,13,24,23,20,16,1
RICHMOND,36085,2,12,70,105,85,39,20,1
ROCKLAND,36087,1,3,43,55,40,19,9,0
ST LAWRENCE,36089,1,1,2,5,56,51,13,5
SARATOGA,36091,0,0,5,19,19,29,24,1
SCHENECTADY,36093,0,3,7,16,18,22,24,0
SCHOHARIE,36095,0,0,0,3,4,1,1,0
SCHUYLER,36097,0,0,0,1,6,3,0,0
SENECA,36099,0,0,0,1,6,5,1,18
STEUBEN,36101,2,2,2,5,58,48,12,3
SUFFOLK,36103,8,35,218,840,768,299,100,8
SULLIVAN,36105,0,0,9,11,10,11,6,2
TIOGA,36107,0,1,4,10,25,17,6,0
TOMPKINS,36109,0,0,5,20,90,22,20,3
ULSTER,36111,0,2,4,20,25,20,12,1
WARREN,36113,0,0,0,4,7,4,7,1
WASHINGTON,36115,0,0,0,1,2,4,6,0
WAYNE,36117,0,2,0,16,82,110,47,3
WESTCHESTER,36119,1,24,180,390,352,191,58,4
WYOMING,36121,0,0,0,1,8,14,5,1
YATES,36123,1,0,0,1,7,4,3,0